Regulation,Category,
6 USC 488a(h),Ammonium Nitrate (Specified),
6 USC 121,Chemical-terrorism Vulnerability Information (Basic),
6 CFR 27,Chemical-terrorism Vulnerability Information (Specified),
18 CFR 388.113,Critical Energy Infrastructure Information (Specified),
10 CFR 1004.13,Critical Energy Infrastructure Information (Specified),
Federal Continuity Directive 1,Emergency Management (Basic),
Presidential Policy Directive 21,General Critical Infrastructure Information (Basic),
44 USC 3554,Information Systems Vulnerability Information (Basic),
44 USC 3555(f),Information Systems Vulnerability Information (Basic),
GSA PBS P 3490.3,Physical Security (Basic),
The Risk Management Process for Federal Facilities: An Interagency Security Committee Standard,Physical Security (Basic),
6 CFR 29,Protected Critical Infrastructure Information (Specified),
6 USC 441,SAFETY Act Information (Basic),
6 CFR 25.10,SAFETY Act Information (Basic),
40 CFR Part 700 - Part 721,Toxic Substances (Specified),
40 CFR Part 723 - Part 789,Toxic Substances (Specified),
40 CFR Part 790 - Part 799,Toxic Substances (Specified),
19 CFR 12.118,Toxic Substances (Specified),
19 CFR 12.127,Toxic Substances (Specified),
19 CFR 12.28,Toxic Substances (Specified),
42 USC 300i-2(a)(5),Water Assessments (Basic),
48 CFR 252.204 - 7012,Controlled Technical Information (Specified),
10 USC 130e,DoD Critical Infrastructure Security Information (Basic),
42 USC 2013,Naval Nuclear Propulsion Information (Basic),
50 USC 2511,Naval Nuclear Propulsion Information (Specified),
P.L. 115-232,Privileged Safety Information (Basic),
10 USC 184,Privileged Safety Information (Basic),
10 USC 128(a),Unclassified Controlled Nuclear Information - Defense (Basic),
32 CFR 223,Unclassified Controlled Nuclear Information - Defense (Specified),
50 USC 4614(c),Export Controlled (Basic),
13 USC 301(g),Export Controlled (Basic),
15 CFR 736,Export Controlled (Specified),
42 USC 2077(a),Export Controlled (Specified),
42 USC 2156,Export Controlled (Basic),
42 USC 2168(a),Export Controlled (Basic),
15 CFR 718.3,Export Controlled (Specified),
22 CFR 124.9(a)(5),Export Controlled (Basic),
22 CFR 126.10(b),Export Controlled (Specified),
50 USC 4605(l)(5),Export Controlled (Basic),
15 CFR 748.1(c),Export Controlled (Specified),
15 CFR 760.5(c),Export Controlled (Specified),
10 USC 130(a),Export Controlled (Basic),
32 CFR 250.4(a),Export Controlled (Basic),
32 CFR 250.9,Export Controlled (Specified),
15 CFR 734.8(b),Export Controlled Research (Basic),
31 USC 5318(g)(2)(A)(ii),Bank Secrecy (Specified),
31 USC 5319,Bank Secrecy (Basic),
31 CFR 1010.950,Bank Secrecy (Specified),
26 USC 6103,Bank Secrecy (Specified),
FinCen BSA,Bank Secrecy (Specified),
OMB Circular A-11 section 22.1,Budget (Specified),
31 USC 716,Comptroller General (Basic),
12 CFR 1070.2(g),Consumer Complaint Information (Specified),
48 CFR 32.1104,Electronic Funds Transfer (Basic),
12 CFR Part 1214.3,Federal Housing Finance Non-Public Information (Basic),
12 USC 1817(a)(2)(C),Financial Supervision Information (Basic),
12 CFR 1070.41,Financial Supervision Information (Basic),
12 USC 1828(x),Financial Supervision Information (Basic),
12 CFR 4.36,Financial Supervision Information (Basic),
12 CFR 4.37,Financial Supervision Information (Basic),
12 CFR 4.38,Financial Supervision Information (Basic),
18 USC 1906,General Financial Information (Specified),
12 USC 3412(a),General Financial Information (Specified),
12 USC 5322(d)(5)(A),General Financial Information (Basic),
31 USC 5318(g)(2)(A)(ii),General Financial Information (Specified),
5 USC Appendix 107(a),General Financial Information (Basic),
31 CFR 800.702(a),General Financial Information (Basic),
22 USC 286f(c),International Financial Institutions (Basic),
15 USC 18a(h),Mergers (Basic),
50 USC 4565(c),Mergers (Basic),
19 CFR 212.11(b),Net Worth (Basic),
29 USC 1310(c),Retirement (Basic),
29 USC 1343(f),Retirement (Basic),
29 CFR 4010.13,Retirement (Basic),
29 CFR 4043.8,Retirement (Basic),
8 CFR 1208.6,Asylee (Basic),
8 CFR 208.6,Asylee (Basic),
8 USC 1367(a)(2),Battered Spouse or Child (Basic),
8 USC 1375a(c),Battered Spouse or Child (Basic),
8 CFR 245a.21,Permanent Resident Status (Basic),
8 USC 1160(b),Status Adjustment (Basic),
8 USC 1255a(c),Status Adjustment (Basic),
8 USC 1254a(c)(6),Temporary Protected Status (Basic),
8 CFR 244.16,Temporary Protected Status (Basic),
28 CFR 1100.31(d)(2),Victims of Human Trafficking (Basic),
8 USC 1202(f),Visas (Basic),
7 USC 8791(b),Agriculture (Basic),
50 USC 1806(a),Foreign Intelligence Surveillance Act (Specified),
50 USC 1845,Foreign Intelligence Surveillance Act (Specified),
50 USC 1825(c),Foreign Intelligence Surveillance Act (Specified),
50 USC 1861(d),Foreign Intelligence Surveillance Act Business Records (Specified),
Executive Order 13470,General Intelligence (Basic),
50 USC 3024(i),General Intelligence (Specified),
50 USC 3507,General Intelligence (Basic),
Intelligence Community Directive 501,General Intelligence (Basic),
Intelligence Community Directive 700,General Intelligence (Basic),
Intelligence Community Directive 710,General Intelligence (Basic),
50 USC 3047(a)(1),General Intelligence (Basic),
18 USC 798(a),General Intelligence (Basic),
50 USC 3605(a),General Intelligence (Basic),
10 USC 455(b)(1),Geodetic Product Information (Specified),
12 USC 3412(a),Intelligence Financial Records (Specified),
50 USC 3024(i),Internal Data (Specified),
50 USC 3507,Internal Data (Basic),
50 USC 3523(b),Internal Data (Specified),
10 USC 424,Internal Data (Basic),
NSPM 28,Operations Security (Basic),
10 USC 130c,International Agreement Information (Specified),
49 CFR Part 1114,Accident Investigation (Specified),
49 CFR Part 831,Accident Investigation (Specified),
52 USC 30109a(4)(B)(i),Campaign Funds (Specified),
52 USC 30109a(12)(A),Campaign Funds (Specified),
18 USC 4247(e),Committed Person (Basic),
18 USC 2511(1),Communications (Basic),
47 USC 605(a),Communications (Basic),
28 CFR 0.103,Controlled Substances (Specified),
28 CFR 20,Criminal History Records Information (Specified),
34 USC 12592(b)(3),DNA (Specified),
50 USC 3365(1),General Law Enforcement (Basic),
28 USC 534(f)(1),General Law Enforcement (Basic),
5 CFR 736.103,Informant (Basic),
21 CFR 20.64(a)(4),Informant (Basic),
10 CFR 19.16(a),Informant (Basic),
26 USC 6103(a),Informant (Specified),
26 USC 6103(h),Informant (Specified),
6 CFR Part 5 Appendix C(a),Investigation (Basic),
18 CFR 1b.20,Investigation (Specified),
18 CFR 1b.9,Investigation (Basic),
21 CFR 20.64(d)(4),Investigation (Specified),
10 CFR 2.390(c)(3)(v),Investigation (Basic),
10 CFR 820.12,Investigation (Basic),
10 CFR 824.12,Investigation (Basic),
10 CFR 851.40,Investigation (Basic),
12 CFR 1070.2(h),Investigation (Specified),
34 USC 11186,Juvenile (Basic),
34 USC 11275,Juvenile (Basic),
18 USC 5038 ,Juvenile (Basic),
12 USC 3412(a),Law Enforcement Financial Records (Specified),
50 USC 3162(b),National Security Letter (Basic),
18 USC 3123(d),Pen Register/Trap & Trace (Basic),
18 USC 3073,Reward (Basic),
34 USC 20920(b)(1),Sex Crime Victim (Basic),
HSPD 6,Terrorist Screening (Basic),
7 USC 26(h)(2),Whistleblower Identity (Basic),
10 CFR 21.2(d),Whistleblower Identity (Basic),
26 USC 6103(a),Whistleblower Identity (Specified),
26 USC 6103(h),Whistleblower Identity (Specified),
5 USC 574,Administrative Proceedings (Basic),
42 USC 2000e-8(e),Administrative Proceedings (Basic),
16 CFR 3.45,Administrative Proceedings (Specified),
16 CFR 4.9(c),Administrative Proceedings (Basic),
18 CFR 385.606,Administrative Proceedings (Basic),
29 CFR 2200.120(d)(3),Administrative Proceedings (Basic),
8 CFR 292.3(h),Administrative Proceedings (Basic),
42 USC 2000e-5(b),Administrative Proceedings (Basic),
42 USC 3610(d),Administrative Proceedings (Basic),
46 CFR 502.167,Administrative Proceedings (Basic),
17 CFR 11.3,Administrative Proceedings (Basic),
17 CFR 10.64,Administrative Proceedings (Specified),
29 CFR 1640.4,Administrative Proceedings (Basic),
29 CFR 1603.108(d),Administrative Proceedings (Basic),
18 USC 3509(m),Child Pornography (Specified),
18 USC 3509(b)(1),Child Victim/Witness (Basic),
5 USC 7114(b)(4)(C),Collective Bargaining (Basic),
Federal Rules of Criminal Procedure 6(e),Federal Grand Jury (Specified),
18 USC 3771(c)(3),Federal Grand Jury (Basic),
US Attorney's Manual,Federal Grand Jury (Specified),
10 CFR 2.347(b),Legal Privilege (Basic),
16 CFR 1025.31(c)(3),Legal Privilege (Basic),
Federal Rules of Civil Procedure 26(b)(3),Legal Privilege (Basic),
Federal Rules of Civil Procedure 26(b)(5),Legal Privilege (Basic),
